Position,Track Name,Artist,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
24,Freak Nasty,Megan Thee Stallion,https://open.spotify.com/track/4rd4bY5IzC4AN6NdgYGtWD,0.953,0.723,1,-6.437,1,0.248,0.00228,0.0,0.336,0.221,99.969,audio_features,4rd4bY5IzC4AN6NdgYGtWD,spotify:track:4rd4bY5IzC4AN6NdgYGtWD,https://api.spotify.com/v1/tracks/4rd4bY5IzC4AN6NdgYGtWD,https://api.spotify.com/v1/audio-analysis/4rd4bY5IzC4AN6NdgYGtWD,173799,4
25,Si Se Da,Myke Towers,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,0.83,0.71,11,-5.523,0,0.326,0.374,0.0,0.0877,0.703,93.977,audio_features,5KbBGUpIZd6gVFUU8tqYiQ,spotify:track:5KbBGUpIZd6gVFUU8tqYiQ,https://api.spotify.com/v1/tracks/5KbBGUpIZd6gVFUU8tqYiQ,https://api.spotify.com/v1/audio-analysis/5KbBGUpIZd6gVFUU8tqYiQ,237013,4
26,MIDDLE CHILD,J. Cole,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,audio_features,2JvzF1RMd7lE3KmFlsyZD8,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/tracks/2JvzF1RMd7lE3KmFlsyZD8,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8,213594,4
27,Pure Water (with Migos),Mustard,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,0.68,0.559,0,-5.545,1,0.129,0.172,0.0,0.318,0.137,202.006,audio_features,63cd4JkwGgYJrbOizbfmsp,spotify:track:63cd4JkwGgYJrbOizbfmsp,https://api.spotify.com/v1/tracks/63cd4JkwGgYJrbOizbfmsp,https://api.spotify.com/v1/audio-analysis/63cd4JkwGgYJrbOizbfmsp,194520,4
28,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,audio_features,1wJRveJZLSb1rjhnUHQiv6,spotify:track:1wJRveJZLSb1rjhnUHQiv6,https://api.spotify.com/v1/tracks/1wJRveJZLSb1rjhnUHQiv6,https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6,189487,4
29,Wannabe,why mona,https://open.spotify.com/track/6SQZ3rR7kNord3KYrom49J,0.578,0.724,6,-7.02,0,0.0865,0.192,2.38e-05,0.235,0.465,169.827,audio_features,6SQZ3rR7kNord3KYrom49J,spotify:track:6SQZ3rR7kNord3KYrom49J,https://api.spotify.com/v1/tracks/6SQZ3rR7kNord3KYrom49J,https://api.spotify.com/v1/audio-analysis/6SQZ3rR7kNord3KYrom49J,217412,4
30,EX,Kiana Ledé,https://open.spotify.com/track/47cQCF21TczFSmGfpd7c07,0.763,0.537,9,-7.018,0,0.246,0.231,0.0,0.109,0.426,73.51,audio_features,47cQCF21TczFSmGfpd7c07,spotify:track:47cQCF21TczFSmGfpd7c07,https://api.spotify.com/v1/tracks/47cQCF21TczFSmGfpd7c07,https://api.spotify.com/v1/audio-analysis/47cQCF21TczFSmGfpd7c07,222387,4
31,Sandstorm (feat. JID),Mereba,https://open.spotify.com/track/1NlWBpNYAnFT7gMGyC0Y1M,0.637,0.512,2,-10.027,1,0.0978,0.59,0.000464,0.0712,0.33,109.492,audio_features,1NlWBpNYAnFT7gMGyC0Y1M,spotify:track:1NlWBpNYAnFT7gMGyC0Y1M,https://api.spotify.com/v1/tracks/1NlWBpNYAnFT7gMGyC0Y1M,https://api.spotify.com/v1/audio-analysis/1NlWBpNYAnFT7gMGyC0Y1M,179027,5
32,Juice,Lizzo,https://open.spotify.com/track/0onslUNmSLDkuYaideYWir,0.767,0.891,0,-3.01,1,0.0901,0.00615,0.0,0.406,0.824,119.91,audio_features,0onslUNmSLDkuYaideYWir,spotify:track:0onslUNmSLDkuYaideYWir,https://api.spotify.com/v1/tracks/0onslUNmSLDkuYaideYWir,https://api.spotify.com/v1/audio-analysis/0onslUNmSLDkuYaideYWir,195334,4
33,Suge,DaBaby,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,audio_features,2gwkD6igEhQbDQegRCcdoB,spotify:track:2gwkD6igEhQbDQegRCcdoB,https://api.spotify.com/v1/tracks/2gwkD6igEhQbDQegRCcdoB,https://api.spotify.com/v1/audio-analysis/2gwkD6igEhQbDQegRCcdoB,163320,4
34,Tia Tamera (feat. Rico Nasty),Doja Cat,https://open.spotify.com/track/1uNePI826aqh9uC9pgbeHU,0.822,0.654,0,-4.623,1,0.132,0.019,0.0,0.233,0.421,119.884,audio_features,1uNePI826aqh9uC9pgbeHU,spotify:track:1uNePI826aqh9uC9pgbeHU,https://api.spotify.com/v1/tracks/1uNePI826aqh9uC9pgbeHU,https://api.spotify.com/v1/audio-analysis/1uNePI826aqh9uC9pgbeHU,211013,4
35,Faucet Failure,Ski Mask The Slump God,https://open.spotify.com/track/1ThmUihH9dF8EV08ku5AXN,0.935,0.552,10,-9.373,0,0.335,0.111,0.0,0.0952,0.615,99.993,audio_features,1ThmUihH9dF8EV08ku5AXN,spotify:track:1ThmUihH9dF8EV08ku5AXN,https://api.spotify.com/v1/tracks/1ThmUihH9dF8EV08ku5AXN,https://api.spotify.com/v1/audio-analysis/1ThmUihH9dF8EV08ku5AXN,145627,4
36,Don't Call Me Up,Mabel,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,audio_features,5WHTFyqSii0lmT9R21abT8,spotify:track:5WHTFyqSii0lmT9R21abT8,https://api.spotify.com/v1/tracks/5WHTFyqSii0lmT9R21abT8,https://api.spotify.com/v1/audio-analysis/5WHTFyqSii0lmT9R21abT8,178480,4
37,Buttercup,Jack Stauber,https://open.spotify.com/track/2mlGPkAx4kwF8Df0GlScsC,0.705,0.373,7,-9.066,1,0.0384,0.723,0.81,0.289,0.551,120.046,audio_features,2mlGPkAx4kwF8Df0GlScsC,spotify:track:2mlGPkAx4kwF8Df0GlScsC,https://api.spotify.com/v1/tracks/2mlGPkAx4kwF8Df0GlScsC,https://api.spotify.com/v1/audio-analysis/2mlGPkAx4kwF8Df0GlScsC,208026,4
38,Nobody,Martin Jensen,https://open.spotify.com/track/2qfEcCkEo5NscA9GL7ER72,0.673,0.687,6,-5.295,0,0.0623,0.269,0.0,0.181,0.524,96.964,audio_features,2qfEcCkEo5NscA9GL7ER72,spotify:track:2qfEcCkEo5NscA9GL7ER72,https://api.spotify.com/v1/tracks/2qfEcCkEo5NscA9GL7ER72,https://api.spotify.com/v1/audio-analysis/2qfEcCkEo5NscA9GL7ER72,211040,4
39,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,0.72,0.741,10,-6.529,0,0.0287,0.101,1.41e-05,0.289,0.357,119.896,audio_features,6WkJ2OK163XXS2oARUC9JM,spotify:track:6WkJ2OK163XXS2oARUC9JM,https://api.spotify.com/v1/tracks/6WkJ2OK163XXS2oARUC9JM,https://api.spotify.com/v1/audio-analysis/6WkJ2OK163XXS2oARUC9JM,198053,4
40,Cat & Dog,TOMORROW X TOGETHER,https://open.spotify.com/track/5cadLqAgl7Y9zX3lRWdsPK,0.843,0.794,8,-3.013,1,0.147,0.0668,0.000223,0.104,0.319,160.001,audio_features,5cadLqAgl7Y9zX3lRWdsPK,spotify:track:5cadLqAgl7Y9zX3lRWdsPK,https://api.spotify.com/v1/tracks/5cadLqAgl7Y9zX3lRWdsPK,https://api.spotify.com/v1/audio-analysis/5cadLqAgl7Y9zX3lRWdsPK,187573,4
41,Envy Me,Calboy,https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX,0.556,0.481,11,-7.663,1,0.313,0.282,0.0,0.216,0.581,149.025,audio_features,05t7JMip6JrLuSrMV5yYjX,spotify:track:05t7JMip6JrLuSrMV5yYjX,https://api.spotify.com/v1/tracks/05t7JMip6JrLuSrMV5yYjX,https://api.spotify.com/v1/audio-analysis/05t7JMip6JrLuSrMV5yYjX,120137,4
42,VALENTINO,24kGoldn,https://open.spotify.com/track/0c7K73roy6RW4ebDkf4yGh,0.745,0.718,9,-4.853,0,0.183,0.197,0.0,0.134,0.539,151.097,audio_features,0c7K73roy6RW4ebDkf4yGh,spotify:track:0c7K73roy6RW4ebDkf4yGh,https://api.spotify.com/v1/tracks/0c7K73roy6RW4ebDkf4yGh,https://api.spotify.com/v1/audio-analysis/0c7K73roy6RW4ebDkf4yGh,179133,4
43,Shotta Flow 2,NLE Choppa,https://open.spotify.com/track/6oV5zsbz9V2nZ79PYam9yC,0.746,0.527,1,-6.93,1,0.259,0.00388,0.0,0.296,0.392,131.792,audio_features,6oV5zsbz9V2nZ79PYam9yC,spotify:track:6oV5zsbz9V2nZ79PYam9yC,https://api.spotify.com/v1/tracks/6oV5zsbz9V2nZ79PYam9yC,https://api.spotify.com/v1/audio-analysis/6oV5zsbz9V2nZ79PYam9yC,132987,4
44,Grow As We Go,Ben Platt,https://open.spotify.com/track/3N2ppgHelZPCpPVmVsxr9J,0.458,0.137,8,-14.083,1,0.0355,0.882,0.0,0.15,0.437,80.824,audio_features,3N2ppgHelZPCpPVmVsxr9J,spotify:track:3N2ppgHelZPCpPVmVsxr9J,https://api.spotify.com/v1/tracks/3N2ppgHelZPCpPVmVsxr9J,https://api.spotify.com/v1/audio-analysis/3N2ppgHelZPCpPVmVsxr9J,249427,4
45,Bola Rebola,Tropkillaz,https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg,0.834,0.777,5,-4.538,0,0.0593,0.22,0.00609,0.335,0.865,129.984,audio_features,1OUPXna2MCgAt3VNmXJBtg,spotify:track:1OUPXna2MCgAt3VNmXJBtg,https://api.spotify.com/v1/tracks/1OUPXna2MCgAt3VNmXJBtg,https://api.spotify.com/v1/audio-analysis/1OUPXna2MCgAt3VNmXJBtg,193440,4
46,Look What God Gave Her,Thomas Rhett,https://open.spotify.com/track/1HY7Ze0NWqDJkl4g4MV62Q,0.732,0.847,2,-3.921,1,0.0307,0.0221,0.0,0.246,0.885,113.012,audio_features,1HY7Ze0NWqDJkl4g4MV62Q,spotify:track:1HY7Ze0NWqDJkl4g4MV62Q,https://api.spotify.com/v1/tracks/1HY7Ze0NWqDJkl4g4MV62Q,https://api.spotify.com/v1/audio-analysis/1HY7Ze0NWqDJkl4g4MV62Q,168214,4
47,Blue Orangeade,TOMORROW X TOGETHER,https://open.spotify.com/track/7C31PdvTuSvEFqn2sKISsX,0.758,0.848,0,-3.601,1,0.0572,0.00611,0.0,0.143,0.42,111.015,audio_features,7C31PdvTuSvEFqn2sKISsX,spotify:track:7C31PdvTuSvEFqn2sKISsX,https://api.spotify.com/v1/tracks/7C31PdvTuSvEFqn2sKISsX,https://api.spotify.com/v1/audio-analysis/7C31PdvTuSvEFqn2sKISsX,185520,4
48,Esclavo de Tus Besos,Manuel Turizo,https://open.spotify.com/track/3g4UyIcQwutiG0TfW32GnX,0.805,0.671,5,-5.316,1,0.111,0.113,0.0,0.278,0.522,90.979,audio_features,3g4UyIcQwutiG0TfW32GnX,spotify:track:3g4UyIcQwutiG0TfW32GnX,https://api.spotify.com/v1/tracks/3g4UyIcQwutiG0TfW32GnX,https://api.spotify.com/v1/audio-analysis/3g4UyIcQwutiG0TfW32GnX,219302,4
49,Boys Will Be Bugs,Cavetown,https://open.spotify.com/track/67EUBsc4qosGOVbaYy6TeX,0.608,0.528,1,-11.722,1,0.0338,0.00387,1.4e-05,0.106,0.454,89.221,audio_features,67EUBsc4qosGOVbaYy6TeX,spotify:track:67EUBsc4qosGOVbaYy6TeX,https://api.spotify.com/v1/tracks/67EUBsc4qosGOVbaYy6TeX,https://api.spotify.com/v1/audio-analysis/67EUBsc4qosGOVbaYy6TeX,329050,4
50,Goin Baby,DaBaby,https://open.spotify.com/track/3WyRgi8CzQnhzO0xw79tTS,0.755,0.772,6,-5.585,1,0.4,0.128,0.0,0.157,0.678,132.906,audio_features,3WyRgi8CzQnhzO0xw79tTS,spotify:track:3WyRgi8CzQnhzO0xw79tTS,https://api.spotify.com/v1/tracks/3WyRgi8CzQnhzO0xw79tTS,https://api.spotify.com/v1/audio-analysis/3WyRgi8CzQnhzO0xw79tTS,141827,4
